condition,ROI_ID,channel,distance_reference_px,raw_mean,filtered,normalized,profile_stack_SD
UV,M4_002,Lab_a,3.1999999999999105,14.263412475585938,14.082983264429842,0.9244032855632055,0.6853138208389282
UV,M4_002,Lab_a,3.3999999999999098,13.981186866760254,13.832771465395334,0.9048319227853353,0.6726675629615784
UV,M4_002,Lab_a,3.599999999999909,13.705753326416016,13.558706988349511,0.8833948229943245,0.6253553032875061
UV,M4_002,Lab_a,3.7999999999999083,13.396170616149902,13.264320528976857,0.8603681543259922,0.5712658166885376
UV,M4_002,Lab_a,3.9999999999999076,13.05538272857666,12.953324335813223,0.8360422858320662,0.5005135536193848
UV,M4_002,Lab_a,4.199999999999907,12.705526351928711,12.629462539393215,0.8107100803482051,0.47398287057876587
UV,M4_002,Lab_a,4.399999999999906,12.317611694335938,12.29638125705392,0.7846567341977244,0.5092065930366516
UV,M4_002,Lab_a,4.5999999999999055,11.937420845031738,11.95750460225208,0.7581500787415474,0.5339342355728149
UV,M4_002,Lab_a,4.799999999999905,11.582267761230469,11.61593848003884,0.7314330553387314,0.5725271701812744
UV,M4_002,Lab_a,4.999999999999904,11.252710342407227,11.274429524519665,0.7047205034680839,0.6247252225875854
UV,M4_002,Lab_a,5.199999999999903,10.926438331604004,10.93539345722303,0.6782013788966255,0.6719359755516052
UV,M4_002,Lab_a,5.399999999999903,10.566460609436035,10.601002252020319,0.6520455716485072,0.6885899901390076
UV,M4_002,Lab_a,5.599999999999902,10.215536117553711,10.273281307322447,0.6264115067349505,0.7667216658592224
UV,M4_002,Lab_a,5.799999999999901,9.876629829406738,9.954167518327491,0.6014506865180763,0.8983624577522278
UV,M4_002,Lab_a,5.9999999999999005,9.545026779174805,9.64548276312559,0.577305616815663,0.9306110739707947
UV,M4_002,Lab_a,6.1999999999999,9.242972373962402,9.348805844851256,0.554099790320779,0.8976219892501831
UV,M4_002,Lab_a,6.399999999999899,8.955005645751953,9.065272605696522,0.5319220516829756,0.8699238896369934
UV,M4_002,Lab_a,6.599999999999898,8.664376258850098,8.795344609541733,0.5108085040523926,0.8515762090682983
UV,M4_002,Lab_a,6.799999999999898,8.413878440856934,8.538614713234153,0.49072730102380296,0.8299399018287659
UV,M4_002,Lab_a,6.999999999999897,8.1754732131958,8.29372462146737,0.4715721978465437,0.8235185146331787
UV,M4_002,Lab_a,7.199999999999896,7.980447769165039,8.058441618784206,0.45316855333918094,0.7751479148864746
UV,M4_002,Lab_a,7.3999999999998956,7.824789047241211,7.829912992485035,0.4352932306418186,0.6950528621673584
UV,M4_002,Lab_a,7.599999999999895,7.651085376739502,7.605063694998725,0.4177057020423103,0.5922505259513855
UV,M4_002,Lab_a,7.799999999999894,7.439987659454346,7.381049419802527,0.4001834882050572,0.49768006801605225
UV,M4_002,Lab_a,7.999999999999893,7.222206115722656,7.155657213514811,0.38255349372205094,0.4405919015407562
UV,M4_002,Lab_a,8.199999999999893,6.9679789543151855,6.927564803846286,0.36471229153363766,0.41425642371177673
UV,M4_002,Lab_a,8.399999999999892,6.726632595062256,6.696415270905145,0.34663196365708376,0.4185759127140045
UV,M4_002,Lab_a,8.599999999999891,6.468098163604736,6.462726029966676,0.3283529818930738,0.4291122257709503
UV,M4_002,Lab_a,8.79999999999989,6.220568656921387,6.227689889921183,0.30996864677981945,0.44337958097457886
UV,M4_002,Lab_a,8.99999999999989,5.992048263549805,5.992956177719414,0.29160796732575656,0.44604241847991943
UV,M4_002,Lab_a,9.19999999999989,5.723217964172363,5.760452863261684,0.2734217477634973,0.4164515733718872
UV,M4_002,Lab_a,9.399999999999888,5.476702690124512,5.532276743850474,0.2555739978673082,0.3930281102657318
UV,M4_002,Lab_a,9.599999999999888,5.267179489135742,5.31065219779629,0.2382387066938131,0.35382339358329773
UV,M4_002,Lab_a,9.799999999999887,5.028666973114014,5.097932903094731,0.22159997701551074,0.3664590120315552
UV,M4_002,Lab_a,9.999999999999886,4.800188064575195,4.896588603781266,0.20585099019584271,0.41082680225372314
UV,M4_002,Lab_a,10.19999999999989,4.603164196014404,4.709144731913557,0.19118928346991165,0.41258689761161804
UV,M4_002,Lab_a,10.399999999999885,4.402438640594482,4.538036429708609,0.17780533167514986,0.39688777923583984
